local_id country firstorsec_day cnt_age_mean cnt_age_l cnt_age_r cnt_sex cnt_home cnt_work cnt_school cnt_transport cnt_leisure cnt_otherplace cnt_frequency cnt_touch cnt_duration
1 BE 1 24 24 NA M 1 0 0 0 0 0 1 1 5
1 BE 1 22 22 NA F 0 0 0 0 1 0 3 2 4
1 BE 1 22 22 NA M 0 0 0 0 1 0 3 2 4
1 BE 1 48 48 NA F 0 0 0 0 1 0 2 2 3
1 BE 1 25 25 NA F 0 0 0 0 1 0 2 2 3
1 BE 1 25 20 30 F 0 0 0 0 0 1 3 2 2
1 BE 2 24 24 NA M 1 0 0 0 0 0 1 1 5
1 BE 2 21 21 NA F 0 0 1 0 0 0 2 2 4
1 BE 2 21 21 NA F 0 0 1 0 0 0 2 2 4
1 BE 2 21 21 NA F 0 0 1 0 0 0 2 2 4
1 BE 2 27 27 NA F 0 0 1 0 0 0 3 2 4
1 BE 2 23 23 NA F 0 0 1 0 0 0 3 2 4
1 BE 2 57 55 60 M 0 0 0 0 1 0 4 2 3
1 BE 2 57 55 60 NA 0 0 0 0 1 0 5 2 2
1 BE 2 22 22 NA F 1 0 0 0 0 0 3 2 4
1 BE 2 45 40 50 F 0 0 0 0 0 1 3 2 2
1 BE 2 21 21 NA F 0 0 1 0 0 0 2 2 3
1 BE 2 25 25 NA F 1 0 0 0 0 0 2 2 5
2 BE 1 18 18 NA F 0 0 1 0 0 0 1 2 4
2 BE 1 18 18 NA F 0 0 1 0 0 0 1 2 4
2 BE 1 19 19 NA F 0 0 1 0 0 0 1 2 4
2 BE 1 18 18 NA F 0 0 1 0 0 0 1 2 4
2 BE 1 18 18 NA F 0 0 1 0 0 0 1 2 4
2 BE 1 18 18 NA F 0 0 1 0 0 0 1 2 4
2 BE 1 18 18 NA F 0 0 1 0 0 0 1 2 4
2 BE 1 18 18 NA F 0 0 1 0 0 0 1 2 4
2 BE 1 42 40 45 F 0 0 1 0 0 0 2 2 3
2 BE 1 18 18 NA F 0 0 1 0 0 0 1 1 4
2 BE 1 18 18 NA F 0 0 1 0 0 0 1 2 2
2 BE 1 18 18 NA M 0 0 1 0 0 0 1 2 3
2 BE 1 19 19 NA M 0 0 1 0 0 0 1 2 2
2 BE 1 19 19 NA F 0 0 1 0 0 0 2 1 1
2 BE 1 20 20 NA F 0 0 1 0 0 0 2 2 1
2 BE 1 21 21 NA M 1 0 0 0 0 0 1 2 3
2 BE 1 22 22 NA M 1 0 0 0 0 0 1 2 3
