country	local_id	global_id	type	day	month	year	participant_age	participant_gender	participant_occupation	participant_occ_detail	participant_education	participant_edu_length	participant_school_year	participant_nationality	hh_size	hh_age_1	hh_age_2	hh_age_3	hh_age_4	hh_age_5	hh_age_6	hh_age_7	hh_age_8	hh_age_9	hh_age_10	hh_age_11	hh_age_12	hh_age_13	hh_age_14	hh_age_15	hh_age_16	hh_age_17	hh_age_18	hh_age_19	hh_age_20	class_size	work_contacts	work_contacts_nr	child_care	child_care_nr	child_relationship	child_nationality	problems	diary_how	diary_missed_unsp	diary_missed_skin	diary_missed_noskin	diary_weight	dayofweek	cnt_count
BE	114	7367	1	26	3	2006	54	F	1	5	7	15	 	BE	2	24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	15	 	 	 	 	N	1	4	 	 	1.0549	0	15
BE	115	7368	1	23	3	2006	55	F	3	 	4	12	 	BE	3	25	56	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	2	 	 	1.0135	4	7
BE	116	7369	1	20	3	2006	23	F	1	5	3	12	 	BE	4	7	7	34	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	35	 	 	 	 	N	2	1	 	 	0.6037	1	47
BE	117	7370	1	21	3	2006	33	F	6	 	7	15	 	BE	5	6	8	9	48	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	2	 	 	1.2399	2	19
BE	118	7371	3	19	3	2006	2	F	1	7	7	15	 	BE	4	1	35	47	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	1	BE	N	2	1	 	 	0.8495	0	5
BE	119	7372	3	23	3	2006	5	F	1	7	3	12	 	BE	4	9	33	34	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	3	1	BE	N	2	4	 	 	0.4368	4	5
BE	120	7373	1	22	3	2006	46	F	1	7	7	15	 	BE	2	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	20	 	 	 	 	N	2	2	 	 	1.7036	3	21
BE	121	7374	1	23	3	2006	66	M	1	5	4	12	 	BE	2	61	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	1.4922	4	8
BE	122	7375	1	27	3	2006	48	M	1	8	3	12	 	BE	4	14	18	43	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	20	 	 	 	 	N	3	3	 	 	1.0063	1	9
BE	123	7376	1	27	3	2006	50	F	6	 	2	9	 	BE	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	25	 	 	 	 	N	2	1	 	 	1.4245	1	52
BE	124	7377	1	27	3	2006	50	F	3	 	3	12	 	BE	3	23	60	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	0.8367	1	15
BE	125	7378	1	25	3	2006	55	M	1	7	7	15	 	BE	2	46	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	10	 	 	 	 	N	2	1	 	 	0.9522	6	17
BE	126	7379	1	24	3	2006	25	F	1	7	7	15	 	BE	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	50	 	 	 	 	N	2	3	 	 	0.6592	5	62
BE	127	7380	1	24	3	2006	18	F	5	 	1	6	 	BE	4	19	46	47	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	15	 	 	 	 	N	1	3	 	 	0.5178	5	25
BE	128	7381	1	23	3	2006	45	F	1	7	7	15	 	BE	4	11	21	54	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	 	 	 	 	 	N	1	3	 	 	1.0063	4	4
BE	129	7382	1	25	3	2006	32	F	1	7	3	12	 	BE	5	4	6	10	36	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	12	 	 	 	 	N	3	3	 	 	1.2399	6	22
BE	130	7383	1	28	3	2006	34	M	1	7	2	9	 	BE	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	150	 	 	 	 	N	2	4	 	 	0.8324	2	160
BE	132	7384	1	27	3	2006	58	F	3	 	1	6	 	BE	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	2	 	 	1.0573	1	4
BE	133	7385	1	1	4	2006	68	M	2	 	4	12	 	BE	2	66	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	1.4922	6	7
BE	134	7386	1	3	4	2006	39	F	4	 	7	15	 	BE	2	11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	3	 	 	 	 	N	1	1	 	 	1.1112	1	9
BE	135	7387	1	29	3	2006	19	M	6	 	2	9	 	BE	4	13	47	48	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	2	 	 	0.5178	3	2
BE	136	7388	3	26	3	2006	2	M	1	7	7	15	 	EU	4	0	35	49	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	1	BE	N	3	4	 	 	0.8495	0	7
BE	137	7389	1	3	4	2006	56	F	1	7	7	15	 	BE	3	22	58	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	40	 	 	 	 	N	1	1	 	 	1.0135	1	53
BE	138	7390	1	31	3	2006	41	F	6	 	3	12	 	BE	3	11	39	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	40	 	 	 	 	N	3	1	 	 	0.87	5	55
BE	139	7391	1	23	3	2006	27	F	6	 	3	12	 	EU	3	0	31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	 	 	 	 	 	N	3	1	 	 	1.007	4	2
BE	140	7392	1	27	3	2006	23	F	1	7	7	15	 	BE	3	19	45	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	0.9039	1	12
BE	141	7393	1	5	4	2006	40	F	1	6	7	15	 	BE	4	13	15	42	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	30	 	 	 	 	Y	1	4	 	 	1.6599	5	47
BE	142	7394	1	4	4	2006	60	M	1	7	3	12	 	BE	2	58	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	200	 	 	 	 	N	1	4	 	 	0.7616	2	204
BE	143	7395	1	27	3	2006	37	F	1	7	7	15	 	BE	4	2	4	37	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	 	 	 	 	 	N	2	1	 	 	1.2112	1	42
BE	144	7396	1	28	3	2006	30	M	1	5	3	12	 	BE	2	30	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	40	 	 	 	 	N	2	1	 	 	1.6533	2	47
BE	145	7397	2	24	3	2006	16	F	5	 	 	 	10	BE	4	18	44	50	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	20	N	 	 	 	 	 	N	1	1	 	 	0.5178	5	55
BE	146	7398	3	26	3	2006	3	F	1	7	7	15	 	BE	4	5	34	34	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	3	1	BE	Y	2	4	 	 	0.8495	0	8
BE	147	7399	1	20	3	2006	59	F	1	5	7	15	 	BE	5	90	60	35	30	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	50	 	 	 	 	N	1	4	 	 	0.6442	1	80
BE	148	7400	1	22	3	2006	51	F	1	6	7	15	 	BE	3	16	23	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	3	1	 	 	0.8367	3	7
BE	149	7401	2	23	3	2006	17	F	5	 	 	 	11	BE	4	20	43	48	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	28	N	 	 	 	 	 	N	1	2	 	 	0.5178	4	28
BE	150	7402	1	23	3	2006	47	M	1	7	7	15	 	BE	3	17	46	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	20	 	 	 	 	N	2	2	 	 	0.8875	4	18
BE	151	7403	1	9	4	2006	41	F	1	8	2	9	 	BE	2	78	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	2	 	 	2.1507	0	2
BE	152	7404	1	2	4	2006	19	M	5	 	3	12	 	BE	5	22	25	50	55	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	40	 	 	 	 	N	2	2	 	 	0.6122	0	27
BE	153	7405	1	4	4	2006	32	F	1	7	7	15	 	BE	3	2	32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	30	 	 	 	 	N	2	2	 	 	0.7721	2	40
BE	154	7406	3	11	4	2006	1	F	1	7	7	15	 	BE	4	3	33	37	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	1	1	BE	N	2	1	 	 	0.8495	2	9
BE	155	7407	1	24	3	2006	18	F	5	 	3	12	 	BE	4	21	46	47	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	4	 	 	0.5178	5	21
BE	156	7408	1	21	4	2006	35	F	3	 	4	12	 	BE	5	5	7	12	37	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	1.3126	5	4
BE	157	7409	1	21	4	2006	69	F	2	 	3	12	 	BE	2	67	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	40	 	 	 	 	N	2	1	 	 	1.4922	5	45
BE	158	7410	1	26	3	2006	22	F	5	 	7	15	 	BE	4	21	48	50	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	10	 	 	 	 	N	2	1	 	 	0.6037	0	11
BE	159	7411	1	22	3	2006	45	M	1	6	7	15	 	BE	3	12	41	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	10	 	 	 	 	N	1	1	 	 	0.8875	3	11
BE	160	7412	1	21	3	2006	54	F	1	7	3	12	 	BE	4	24	29	57	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	15	 	 	 	 	N	3	4	 	 	0.6693	2	5
BE	161	7413	1	5	4	2006	27	F	1	7	7	15	 	BE	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	20	 	 	 	 	N	2	2	 	 	0.6592	3	4
BE	162	7414	1	30	3	2006	26	M	4	 	2	9	 	BE	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	2	 	 	0.6592	4	2
BE	163	7415	1	31	3	2006	42	F	1	7	7	15	 	BE	4	11	15	46	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	 	 	 	 	 	N	2	1	 	 	1.6599	5	14
BE	164	7416	1	28	3	2006	63	F	3	 	2	9	 	BE	2	66	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	0.7616	2	3
BE	165	7417	1	31	3	2006	57	F	2	 	7	15	 	BE	4	27	32	58	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	2	 	 	0.5455	5	20
BE	170	7418	1	24	3	2006	50	F	1	5	4	12	 	BE	3	25	49	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	25	 	 	 	 	N	2	2	 	 	0.8367	5	32
BE	190	7419	1	25	3	2006	24	F	1	7	7	15	 	EU	2	27	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	1.7051	6	5
BE	195	7420	1	13	4	2006	49	M	1	8	4	12	 	BE	3	22	50	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	15	 	 	 	 	N	2	1	 	 	0.8875	4	6
BE	199	7421	1	31	3	2006	23	M	1	7	3	12	 	BE	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	2	 	 	0.9039	5	10
BE	205	7422	1	27	3	2006	69	M	2	 	4	12	 	BE	2	69	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	1.4922	1	1
BE	206	7423	1	27	3	2006	51	F	3	 	2	9	 	BE	3	24	54	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	0.8367	1	7
BE	207	7424	1	27	3	2006	58	M	1	8	1	6	 	BE	2	59	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	15	 	 	 	 	N	2	2	 	 	0.9522	1	11
BE	208	7425	1	27	3	2006	21	M	5	 	7	15	 	BE	5	19	23	45	47	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	30	 	 	 	 	N	2	2	 	 	1.1636	1	45
BE	209	7426	1	26	3	2006	44	F	1	7	3	12	 	BE	4	11	13	43	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	40	 	 	 	 	N	2	1	 	 	1.6599	0	7
BE	210	7427	1	26	3	2006	58	M	2	 	2	9	 	BE	2	53	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	4	 	 	0.9522	0	9
BE	211	7428	1	27	3	2006	56	M	4	 	3	12	 	BE	3	19	52	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	3	 	 	1.0135	1	6
BE	212	7429	1	22	3	2006	20	F	5	 	3	12	 	BE	4	17	42	47	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	35	 	 	 	 	N	2	4	 	 	0.6037	3	71
BE	213	7430	1	27	3	2006	22	F	5	 	7	15	 	BE	3	54	55	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	25	 	 	 	 	N	2	1	 	 	0.9039	1	27
BE	215	7431	1	27	3	2006	32	F	4	 	7	15	 	BE	5	2	4	6	36	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	3	2	 	 	1.2399	1	10
BE	217	7432	1	31	3	2006	69	F	2	 	3	12	 	BE	2	70	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	Y	2	2	 	 	1.4922	5	6
BE	218	7433	1	28	3	2006	50	F	1	7	7	15	 	BE	2	58	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	10	 	 	 	 	N	1	2	 	 	1.0549	2	15
BE	220	7434	1	26	3	2006	27	M	1	7	4	12	 	BE	4	1	3	29	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	15	 	 	 	 	N	1	1	 	 	4.026	0	9
BE	221	7435	1	27	3	2006	63	M	2	 	7	15	 	BE	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	3	1	 	 	0.882	1	10
BE	222	7436	1	27	3	2006	26	F	6	 	2	9	 	EU	5	3	22	55	57	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	1.3812	1	10
BE	223	7437	1	23	3	2006	22	M	5	 	3	12	 	BE	3	47	52	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	3	 	 	0.9039	4	34
BE	224	7438	1	30	3	2006	56	F	6	 	0	0	 	BE	9	3	3	7	19	19	23	36	49	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	 	 	 	 	 	N	2	1	 	 	0.6442	4	5
BE	226	7439	1	29	3	2006	46	F	1	7	2	9	 	BE	2	19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	40	 	 	 	 	N	2	1	 	 	1.7036	3	55
BE	227	7440	1	31	3	2006	37	F	1	7	3	12	 	BE	4	9	12	41	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	20	 	 	 	 	N	2	2	 	 	1.2112	5	10
BE	228	7441	1	2	4	2006	54	F	4	 	2	9	 	BE	2	19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	1.0549	0	1
BE	229	7442	1	26	3	2006	60	F	2	 	4	12	 	BE	2	62	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	0.7616	0	11
BE	230	7443	1	26	3	2006	53	F	1	7	2	9	 	BE	3	33	60	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	50	 	 	 	 	N	1	1	 	 	0.8367	0	3
BE	231	7444	1	1	4	2006	52	F	3	 	3	12	 	BE	3	21	55	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	0.8367	6	3
BE	233	7445	1	31	3	2006	18	F	5	 	3	12	 	BE	5	20	22	47	47	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	2	 	 	0.6122	5	18
BE	235	7446	1	28	3	2006	60	F	3	 	2	9	 	BE	2	63	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	3	1	 	 	0.7616	2	19
BE	236	7447	1	29	3	2006	50	M	6	 	2	9	 	BE	2	51	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	1.0549	3	2
BE	237	7448	1	31	3	2006	61	F	2	 	7	15	 	BE	4	28	32	60	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	0.7628	5	4
BE	238	7449	1	30	3	2006	23	F	4	 	4	12	 	BE	6	24	25	35	53	58	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	20	 	 	 	 	N	1	2	 	 	1.1636	4	27
BE	243	7450	1	30	3	2006	24	F	4	 	7	15	 	BE	3	46	50	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	3	 	 	0.9039	4	18
BE	244	7451	1	30	3	2006	52	M	4	 	1	6	 	BE	2	50	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	2	 	 	1.0549	4	22
BE	245	7452	1	31	3	2006	20	M	5	 	3	12	 	BE	4	31	43	44	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	3	 	 	0.6037	5	40
BE	246	7453	1	30	3	2006	43	M	1	8	2	9	 	BE	3	14	40	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	35	 	 	 	 	N	2	2	 	 	0.87	4	39
BE	248	7454	1	31	3	2006	23	M	1	8	3	12	 	BE	4	16	43	47	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	2	 	 	0.6037	5	4
BE	249	7455	1	30	3	2006	32	F	1	7	7	15	 	BE	5	1	3	6	33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	10	 	 	 	 	N	1	2	 	 	1.2399	4	32
BE	250	7456	1	1	4	2006	58	F	2	 	3	12	 	BE	2	61	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	0.9522	6	15
BE	251	7457	1	27	3	2006	21	M	4	 	7	15	 	BE	4	20	50	51	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	10	 	 	 	 	N	1	1	 	 	0.6037	1	10
BE	252	7458	1	29	3	2006	18	F	5	 	3	12	 	BE	5	13	14	44	45	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	 	 	 	 	 	N	2	2	 	 	0.6122	3	20
BE	253	7459	1	2	4	2006	55	F	1	7	7	15	 	BE	2	58	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	50	 	 	 	 	N	2	1	 	 	0.9522	0	8
BE	254	7460	1	31	3	2006	55	F	3	 	4	12	 	BE	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	1.0573	5	7
BE	255	7461	1	30	3	2006	57	F	3	 	1	6	 	BE	2	60	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	0.9522	4	11
BE	256	7462	1	29	3	2006	18	F	5	 	3	12	 	BE	3	43	45	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	4	 	 	0.5641	3	13
BE	257	7463	1	3	4	2006	19	M	5	 	3	12	 	BE	4	16	48	48	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	3	2	 	 	0.5178	1	15
BE	258	7464	1	31	3	2006	45	F	1	7	4	12	 	BE	3	15	46	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	8	 	 	 	 	N	1	1	 	 	0.8875	5	15
BE	259	7465	1	31	3	2006	59	M	2	 	3	12	 	BE	2	58	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	0.9522	5	13
BE	260	7466	1	30	3	2006	54	M	2	 	4	12	 	BE	4	22	25	52	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	2	 	 	0.6693	4	10
BE	263	7467	1	29	3	2006	23	M	1	8	3	12	 	BE	3	53	55	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	0.9039	3	23
BE	265	7468	1	1	4	2006	69	F	2	 	2	9	 	BE	2	74	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	1.4922	6	10
BE	266	7469	1	29	3	2006	63	M	1	5	3	12	 	BE	2	64	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	2	 	 	 	 	N	2	1	 	 	0.7616	3	5
BE	268	7470	1	29	3	2006	45	M	2	 	7	15	 	BE	4	15	18	45	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	3	1	 	 	1.0063	3	13
BE	269	7471	1	29	3	2006	69	F	2	 	7	15	 	BE	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	1.0388	3	8
BE	270	7472	1	1	4	2006	53	M	1	5	7	15	 	BE	3	20	53	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	12	 	 	 	 	N	3	1	 	 	0.8367	6	2
BE	271	7473	1	30	3	2006	31	M	1	7	7	15	 	BE	2	30	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	 	 	 	 	 	Y	1	1	 	 	1.6533	4	14
BE	272	7474	1	1	4	2006	47	F	1	7	7	15	 	BE	6	18	18	20	23	50	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	40	 	 	 	 	N	3	1	 	 	1.0331	6	13
BE	273	7475	2	25	3	2006	13	F	5	 	 	 	7	BE	4	16	41	41	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	21	N	 	 	 	 	 	N	1	2	 	 	0.5116	6	17
BE	274	7476	2	25	3	2006	13	F	5	 	 	 	7	BE	4	10	41	42	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	21	N	 	 	 	 	 	N	2	1	 	 	0.5116	6	5
BE	275	7477	2	27	3	2006	16	F	5	 	 	 	10	BE	4	13	42	46	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	25	N	 	 	 	 	 	N	1	1	 	 	0.5178	1	26
BE	276	7478	2	30	3	2006	14	M	5	 	 	 	8	BE	4	13	38	41	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	20	N	 	 	 	 	 	N	1	1	 	 	0.5116	4	5
BE	277	7479	2	27	3	2006	17	M	5	 	 	 	11	BE	4	19	47	47	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	20	N	 	 	 	 	 	N	2	2	 	 	0.5178	1	8
BE	278	7480	2	1	4	2006	12	M	5	 	 	 	6	BE	5	15	18	45	47	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	22	Y	45	 	 	 	 	N	2	3	 	 	1.0819	6	14
BE	279	7481	2	31	3	2006	11	M	5	 	0	0	5	BE	4	7	39	41	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	29	N	 	 	 	 	 	N	2	4	 	 	0.5116	5	34
BE	280	7482	2	30	3	2006	11	F	5	 	 	 	5	BE	4	7	38	38	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	22	N	 	 	 	 	 	N	2	2	 	 	0.5116	4	20
BE	281	7483	2	31	3	2006	15	F	5	 	 	 	9	BE	6	11	14	17	48	51	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	21	N	 	 	 	 	 	Y	1	2	 	 	0.6122	5	58
BE	282	7484	2	27	3	2006	15	F	5	 	 	 	9	BE	4	13	40	44	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	24	N	 	 	 	 	 	N	2	1	 	 	0.5178	1	10
BE	285	7485	2	29	3	2006	15	F	5	 	 	 	9	BE	3	47	52	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	25	Y	28	 	 	 	 	N	1	1	 	 	0.5641	3	39
BE	287	7486	2	2	4	2006	10	F	5	 	 	 	4	BE	4	9	38	38	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	28	N	 	 	 	 	 	N	2	3	 	 	0.5116	0	7
BE	288	7487	2	30	3	2006	17	M	5	 	 	 	11	BE	3	19	46	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	18	Y	30	 	 	 	 	N	2	2	 	 	0.5641	4	40
BE	289	7488	2	2	4	2006	9	F	5	 	 	 	3	BE	4	15	42	43	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	30	N	 	 	 	 	 	N	2	1	 	 	0.4368	0	5
BE	290	7489	2	1	4	2006	9	M	5	 	 	 	3	BE	3	35	41	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	19	N	 	 	 	 	 	N	2	2	 	 	0.3243	6	19
BE	291	7490	2	5	4	2006	16	F	5	 	 	 	10	BE	4	23	48	51	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	21	N	 	 	 	 	 	N	1	1	 	 	0.5178	3	5
