local_id country type participant_age participant_gender participant_occupation participant_occ_detail participant_education participant_edu_length participant_school_year participant_nationality hh_size hh_age_1 hh_age_2 hh_age_3 hh_age_4 hh_age_5 hh_age_6 hh_age_7 hh_age_8 hh_age_9 hh_age_10 hh_age_11 hh_age_12 hh_age_13 hh_age_14 hh_age_15 hh_age_16 hh_age_17 hh_age_18 hh_age_19 hh_age_20 class_size work_contacts work_contacts_nr work_age_1 work_age_2 work_age_3 work_age_4 work_age_5 fill_in_age fill_in_gender child_care child_care_nr child_relationship child_nationality problems day1 month1 year1 dayofweek1 work_day1 holiday1 diary_how1 diary_missed_unsp1 day2 month2 year2 dayofweek2 work_day2 holiday2 diary_how2 diary_missed_unsp2 diary_weight
21 BE 1 47 F 1 7 3 12 NA BE 3 20 21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 17 3 2006 5 1 0 2 1 18 3 2006 6 0 0 2 1 0.8875
22 BE 1 43 F 4 NA 2 9 NA BE 4 19 20 49 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 15 3 2006 3 1 0 1 1 18 3 2006 6 0 0 2 1 1.6599
23 BE 1 69 F 2 NA 4 12 NA BE 2 71 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 19 3 2006 0 0 0 1 1 21 3 2006 2 1 0 1 1 1.4922
24 BE 1 66 F 2 NA 7 15 NA BE 2 65 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA Y 18 3 2006 6 0 0 1 1 20 3 2006 1 1 0 1 1 1.4922
25 BE 1 53 F 1 7 3 12 NA BE 2 52 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Y 40 0 0 0 1 1 NA NA NA NA NA NA N 19 3 2006 0 0 0 1 1 21 3 2006 2 1 0 2 4 1.0549
26 BE 1 34 M 1 7 7 15 NA BE 3 0 34 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Y 3 0 0 0 1 0 NA NA NA NA NA NA N 18 3 2006 6 0 0 2 1 20 3 2006 1 1 0 1 1 0.7721
27 BE 1 58 F 3 NA 4 12 NA BE 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 18 3 2006 6 0 0 2 1 20 3 2006 1 1 0 2 1 1.0573
28 BE 1 55 F 1 7 3 12 NA BE 3 30 58 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Y 40 0 0 0 1 0 NA NA NA NA NA NA N 18 3 2006 6 0 0 1 2 20 3 2006 1 1 0 1 3 1.0135
29 BE 1 49 F 1 8 4 12 NA BE 6 13 17 22 28 50 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Y 35 0 0 0 0 1 NA NA NA NA NA NA N 18 3 2006 6 0 0 2 4 20 3 2006 1 1 0 1 4 1.0331
30 BE 1 24 M 6 NA 7 15 NA BE 2 25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 18 3 2006 6 0 0 1 2 20 3 2006 1 1 0 1 2 1.7051
31 BE 1 50 F 6 NA 4 12 NA BE 2 52 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 27 3 2006 1 1 0 1 2 2 4 2006 0 0 1 2 1 1.0549
32 BE 1 61 M 1 7 7 15 NA BE 3 31 62 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Y 30 0 0 0 1 0 NA NA NA NA NA NA N 18 3 2006 6 0 0 1 4 20 3 2006 1 1 0 1 1 1.366
33 BE 1 41 F 3 NA 3 12 NA BE 5 12 16 17 40 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 18 3 2006 6 0 0 2 1 20 3 2006 1 1 0 2 1 2.3409
34 BE 1 53 F 3 NA 1 6 NA BE 2 52 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 18 3 2006 6 0 0 2 1 20 3 2006 1 1 0 2 1 1.0549
35 BE 1 56 M 1 7 7 15 NA EU 4 21 25 54 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Y 40 0 0 0 1 0 NA NA NA NA NA NA N 18 3 2006 6 0 0 1 1 20 3 2006 1 1 0 1 1 0.5455
36 BE 1 55 F 1 7 7 15 NA BE 4 20 24 57 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Y 25 1 1 1 1 0 NA NA NA NA NA NA N 18 3 2006 6 0 0 2 1 20 3 2006 1 1 0 2 1 0.5455
37 BE 1 29 F 1 7 7 15 NA BE 3 4 38 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Y NA 0 0 0 1 0 NA NA NA NA NA NA N 18 3 2006 6 0 0 1 1 20 3 2006 1 1 0 1 1 1.007
